
2022/03/31 (12:08:58) | ===> btop++ v.1.2.5
2022/03/31 (12:08:58) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2022/06/10 (20:56:57) | ===> btop++ v.1.2.7
2022/06/10 (20:56:57) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/06/10 (20:58:54) | ===> btop++ v.1.2.7
2022/06/10 (20:58:54) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/06/10 (20:58:57) | WARNING: Failed to join _runner thread on exit!

2022/06/10 (20:59:01) | ===> btop++ v.1.2.7
2022/06/10 (20:59:01) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/06/10 (20:59:04) | WARNING: Failed to join _runner thread on exit!

2022/06/10 (20:59:14) | ===> btop++ v.1.2.7
2022/06/10 (20:59:14) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/06/10 (20:59:16) | WARNING: Failed to join _runner thread on exit!

2022/06/10 (22:05:31) | ===> btop++ v.1.2.7
2022/06/10 (22:05:31) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/06/10 (22:05:34) | WARNING: Failed to join _runner thread on exit!

2022/06/10 (22:06:09) | ===> btop++ v.1.2.7
2022/06/10 (22:06:09) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/06/10 (22:06:11) | WARNING: Failed to join _runner thread on exit!

2022/06/10 (22:11:40) | ===> btop++ v.1.2.7
2022/06/10 (22:11:40) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/06/10 (22:11:46) | WARNING: Failed to join _runner thread on exit!

2022/06/10 (23:06:01) | ===> btop++ v.1.2.7
2022/06/10 (23:06:01) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/06/10 (23:53:15) | ===> btop++ v.1.2.7
2022/06/10 (23:53:15) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/06/12 (13:58:44) | ===> btop++ v.1.2.7
2022/06/12 (13:58:44) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/06/12 (13:59:12) | ===> btop++ v.1.2.7
2022/06/12 (13:59:12) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/06/12 (13:59:16) | ===> btop++ v.1.2.7
2022/06/12 (13:59:16) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/06/12 (15:54:18) | ===> btop++ v.1.2.7
2022/06/12 (15:54:18) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/06/12 (19:13:02) | ===> btop++ v.1.2.7
2022/06/12 (19:13:02) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/06/12 (19:13:05) | WARNING: Failed to join _runner thread on exit!

2022/06/12 (19:13:09) | ===> btop++ v.1.2.7
2022/06/12 (19:13:09) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/06/12 (19:13:11) | ===> btop++ v.1.2.7
2022/06/12 (19:13:11) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/06/12 (19:23:38) | ===> btop++ v.1.2.7
2022/06/12 (19:23:38) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/06/12 (19:23:41) | ===> btop++ v.1.2.7
